gene,avg_methylation
ATM,0.19154186579350194
ATMIN,0.24801523712737153
ATN1,0.291775577574526
ATOH1,0.22392457451085496
ATOH7,0.5051209823848236
ATOX1,0.14654049656574158
ATP11A,0.7694340505251144
ATP11B,0.18258016859495504
ATP12A,0.16207149692702302
ATP13A2,0.501765064064244
ATP1A1,0.4467532253231186
ATP1A2,0.658969111080315
ATP1A3,0.257597887630662
ATP1A4,0.7587930950767847
ATP1B1,0.21031733546264048
ATP1B2,0.33154885742048207
ATP1B3,0.20317896341463373
ATP1B4,0.6374846205962057
ATP23,0.5
ATP2A1,0.6134853192388763
ATP2A2,0.4936236397833748
ATP2A3,0.6455746857121348
ATP2B1,0.42118467111206187
ATP2B4,0.41725032978638593
ATP4A,0.48959566169828317
ATP4B,0.7691997002545784
ATP5F1A,0.5
ATP5F1B,0.5
ATP5F1C,0.5
ATP5F1D,0.5
ATP5F1E,0.5
ATP5IF1,0.5
ATP5MC1,0.5
ATP5MC2,0.5
ATP5MC3,0.5
ATP5ME,0.5
ATP5MF,0.5
ATP5MG,0.5
ATP5PB,0.5
ATP5PD,0.5
ATP5PF,0.5
ATP5PO,0.5
ATP6AP1,0.4216656960079214
ATP6AP2,0.29735367964145926
ATP6V0A1,0.28840143955244685
ATP6V0A2,0.2811101528496342
ATP6V0A4,0.6932450003079579
ATP6V0B,0.18172293807141365
ATP6V0C,0.3788055988407104
ATP6V0D1,0.4683287130316958
ATP6V0D2,0.6254852655305401
ATP6V0E1,0.348901656127672
ATP6V0E2,0.21044685803627278
ATP6V1A,0.13132485668125923
ATP6V1B1,0.45091450542005435
ATP6V1B2,0.1929512682777928
ATP6V1C1,0.23113686846689896
ATP6V1C2,0.47644293966623874
ATP6V1D,0.27738576388888864
ATP6V1E1,0.24699488482384777
ATP6V1E2,0.34657599370631903
ATP6V1F,0.12887775622074427
ATP6V1G1,0.08119258130081326
ATP6V1G2,0.3782898448734548
ATP6V1G3,0.7579073170731707
ATP6V1H,0.2722653334301201
ATP7A,0.48913229825353755
ATP7B,0.16107273712737127
ATP8A1,0.42305211334569504
ATP8B2,0.2371080750338754
ATP8B4,0.5801225726178241
ATPAF1,0.36777997628726283
ATPAF2,0.40761887025745264
ATR,0.12215521045054224
ATRIP,0.33255628610887805
ATRN,0.19685912067832786
ATRX,0.298060655487805
ATXN1,0.5727766752820773
ATXN10,0.22336612348074264
ATXN1L,0.39442489705416495
ATXN2L,0.25281502773987546
ATXN3L,0.8282011263550135
ATXN7L3,0.33840509710930433
AUH,0.32828427168021684
AUP1,0.23466910985118625
AURKA,0.115592369829029
AURKAIP1,0.36207127110694204
AURKB,0.22220153794037897
AURKC,0.821156902100271
AVIL,0.5994257452574531
AVP,0.5151850375234525
AVPR1A,0.34944645325203244
AVPR1B,0.26784038679477673
AXIN1,0.7980817315750158
AXIN2,0.4935901435595795
AXL,0.19173349141824736
AZGP1,0.6101000767841007
AZI2,0.18145002903600496
AZIN1,0.26804703263918606
AZIN2,0.2305834170806986
AZU1,0.55686120850271
