gene,HiC_1,HiC_2,HiC_3,HiC_4,HiC_5
ALDH1L2,-0.012635391,-0.011775839,-0.014053599,-0.011845738,-0.016105387
ALDH2,-0.012635391,-0.011775829,-0.0140536055,-0.011845682,-0.016105494
ALDH3A1,-0.0126354,-0.011776002,-0.014054007,-0.011845467,-0.016105423
ALDH3A2,-0.012635539,-0.011778648,-0.014059723,-0.011843219,-0.0161028
ALDH3B1,-0.012635053,-0.011778687,-0.0012802894,-0.011866404,-0.016068239
ALDH4A1,-0.012635389,-0.011775809,-0.014053633,-0.0118453065,-0.016105462
ALDH5A1,-0.012636094,-0.011771925,-0.01405382,-0.011806656,-0.016193684
ALDH6A1,-0.012635991,-0.0117756715,-0.014052987,-0.01185005,-0.016110245
ALDH9A1,-0.012635383,-0.011775747,-0.014053644,-0.011845212,-0.01610514
ALDOC,-0.012635554,-0.011778917,-0.0140603045,-0.01184299,-0.016102536
