gene,missense_ratio,nonsense_ratio,frameshift_ratio,splice_ratio
ACTR8,0.010869565217391304,0.0,0.0,0.0
ACVR1,0.0,0.0,0.0,0.0
ACVR1B,0.016304347826086956,0.0,0.0,0.0
ACVR1C,0.005434782608695652,0.0,0.0,0.005434782608695652
ACVR2A,0.005434782608695652,0.0,0.016304347826086956,0.0
ACVR2B,0.005434782608695652,0.0,0.0,0.0
ACVRL1,0.010869565217391304,0.0,0.0,0.0
ACY1,0.0,0.0,0.0,0.0
ACYP2,0.0,0.0,0.0,0.0
ADA,0.0,0.0,0.0,0.0
ADAM10,0.0,0.005434782608695652,0.0,0.0
ADAM11,0.0,0.0,0.0,0.0
ADAM12,0.021739130434782608,0.005434782608695652,0.0,0.0
ADAM15,0.0,0.0,0.0,0.0
ADAM17,0.016304347826086956,0.0,0.0,0.0
ADAM19,0.016304347826086956,0.0,0.0,0.0
ADAM2,0.010869565217391304,0.0,0.0,0.0
ADAM21,0.005434782608695652,0.0,0.0,0.0
ADAM22,0.021739130434782608,0.0,0.0,0.0
ADAM28,0.016304347826086956,0.0,0.0,0.0
ADAM30,0.0,0.0,0.0,0.0
ADAM8,0.005434782608695652,0.0,0.0,0.0
ADAM9,0.0,0.0,0.0,0.0
ADAMTS1,0.010869565217391304,0.0,0.0,0.0
ADAMTS12,0.02717391304347826,0.0,0.005434782608695652,0.005434782608695652
ADAMTS13,0.016304347826086956,0.0,0.0,0.005434782608695652
ADAMTS18,0.005434782608695652,0.005434782608695652,0.0,0.0
ADAMTS2,0.03260869565217391,0.0,0.005434782608695652,0.0
ADAMTS4,0.0,0.0,0.0,0.0
ADAMTS5,0.005434782608695652,0.0,0.0,0.0
ADAMTS7,0.021739130434782608,0.0,0.0,0.0
ADAMTSL1,0.02717391304347826,0.005434782608695652,0.0,0.0
ADAMTSL2,0.0,0.0,0.0,0.0
ADAMTSL3,0.016304347826086956,0.0,0.0,0.0
ADAMTSL5,0.0,0.0,0.0,0.0
ADAP1,0.0,0.0,0.0,0.0
ADAP2,0.016304347826086956,0.0,0.0,0.0
ADAR,0.016304347826086956,0.0,0.0,0.0
ADCY1,0.005434782608695652,0.0,0.010869565217391304,0.0
ADCY10,0.021739130434782608,0.0,0.0,0.0
ADCY2,0.016304347826086956,0.0,0.0,0.0
ADCY3,0.005434782608695652,0.0,0.0,0.0
ADCY5,0.010869565217391304,0.0,0.0,0.0
ADCY6,0.005434782608695652,0.0,0.0,0.0
ADCY7,0.005434782608695652,0.0,0.0,0.0
ADCY8,0.043478260869565216,0.0,0.0,0.0
ADCY9,0.021739130434782608,0.0,0.0,0.0
ADCYAP1,0.0,0.0,0.0,0.0
ADD1,0.0,0.0,0.0,0.0
ADD2,0.016304347826086956,0.0,0.0,0.0
ADD3,0.005434782608695652,0.0,0.005434782608695652,0.0
ADGRA2,0.010869565217391304,0.0,0.0,0.0
ADGRB1,0.02717391304347826,0.0,0.0,0.0
ADGRE5,0.005434782608695652,0.0,0.0,0.0
ADGRF5,0.005434782608695652,0.0,0.005434782608695652,0.0
ADGRG3,0.005434782608695652,0.0,0.0,0.0
ADGRL1,0.005434782608695652,0.0,0.0,0.0
ADGRL2,0.043478260869565216,0.0,0.0,0.0
ADGRL3,0.02717391304347826,0.005434782608695652,0.0,0.0
ADH1A,0.0,0.0,0.0,0.0
ADH1B,0.005434782608695652,0.0,0.0,0.0
ADH1C,0.016304347826086956,0.0,0.0,0.0
ADH4,0.0,0.0,0.0,0.0
ADH5,0.0,0.0,0.0,0.0
ADH7,0.010869565217391304,0.0,0.0,0.0
ADHFE1,0.010869565217391304,0.0,0.0,0.0
ADI1,0.005434782608695652,0.0,0.0,0.0
ADIPOQ,0.0,0.0,0.0,0.0
ADIPOR1,0.005434782608695652,0.0,0.0,0.0
ADIPOR2,0.0,0.0,0.0,0.0
ADK,0.0,0.0,0.0,0.0
ADM,0.0,0.0,0.005434782608695652,0.0
ADNP,0.010869565217391304,0.0,0.005434782608695652,0.0
ADO,0.0,0.0,0.0,0.0
ADORA1,0.010869565217391304,0.0,0.0,0.0
ADORA2A,0.005434782608695652,0.0,0.0,0.0
ADORA2B,0.005434782608695652,0.0,0.0,0.0
ADPGK,0.005434782608695652,0.0,0.0,0.0
ADRA1A,0.016304347826086956,0.0,0.0,0.0
ADRA1B,0.0,0.0,0.0,0.0
ADRA1D,0.010869565217391304,0.0,0.0,0.0
ADRA2A,0.005434782608695652,0.0,0.005434782608695652,0.0
ADRA2B,0.005434782608695652,0.0,0.0,0.0
ADRA2C,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0
ADRB1,0.005434782608695652,0.0,0.0,0.0
ADRB2,0.0,0.0,0.0,0.0
ADRB3,0.0,0.0,0.0,0.0
ADRM1,0.005434782608695652,0.0,0.0,0.0
ADSL,0.010869565217391304,0.0,0.0,0.0
AEBP2,0.005434782608695652,0.0,0.0,0.0
